node,value,variable,i1,i2
2,0.04622634887695375,C_heat_prod,Geothermal,8
2,0.16683003743489652,C_heat_prod,Geothermal,18
2,0.0,C_heat_prod,HeatPump,18
2,0.0,C_heat_prod,HeatPump,4
2,0.0,C_heat_prod,HeatPump,1
2,0.2528171920776378,C_heat_prod,Geothermal,22
2,0.0,C_heat_prod,HeatPump,7
2,0.06419891357421925,C_heat_prod,Geothermal,10
2,0.1359063504611362,C_heat_prod,HeatPump,22
2,0.0,C_heat_prod,HeatPump,13
2,0.0,C_heat_prod,HeatPump,8
2,0.0,C_heat_prod,HeatPump,9
2,0.0,C_heat_prod,HeatPump,14
2,0.11930062611897868,C_heat_prod,Geothermal,15
2,0.0,C_heat_prod,HeatPump,10
2,0.037912216186524,C_heat_prod,Geothermal,7
2,0.08419937133789125,C_heat_prod,Geothermal,12
2,0.029816029866537003,C_heat_prod,Geothermal,6
2,0.10652679443359425,C_heat_prod,Geothermal,14
2,0.0,C_heat_prod,HeatPump,11
2,0.0,C_heat_prod,HeatPump,20
2,0.0,C_heat_prod,Geothermal,1
2,0.0,C_heat_prod,HeatPump,21
2,0.07401997884114651,C_heat_prod,Geothermal,11
2,0.0,C_heat_prod,HeatPump,5
2,0.0,H_heat_unmet,4
2,0.0,H_heat_unmet,1
2,0.0,H_heat_unmet,12
2,0.0,H_heat_unmet,20
2,0.0,H_heat_unmet,2
2,0.0,H_heat_unmet,6
2,0.0,H_heat_unmet,22
2,0.0,H_heat_unmet,11
2,0.0,H_heat_unmet,13
2,0.0,H_heat_unmet,5
2,0.0,H_heat_unmet,15
2,0.0,H_heat_unmet,16
2,0.0,H_heat_unmet,14
2,0.0,H_heat_unmet,21
2,0.0,H_heat_unmet,7
2,0.0,H_heat_unmet,8
2,0.0,H_heat_unmet,17
2,0.0,H_heat_unmet,10
2,0.0,H_heat_unmet,19
2,0.0,H_heat_unmet,9
2,0.0,H_heat_unmet,18
2,0.0,H_heat_unmet,3
2,1.0,admin,HeatPump
2,1.0,admin,Geothermal
2,1.0,admin,Boiler
2,0.02928446827306426,invest_cumulative,HeatPump
2,0.013306168004086199,invest_cumulative,Geothermal
2,0.7281507659423299,invest_cumulative,Boiler
2,0.2841512298583975,H_heat_prod,Boiler,19
2,0.20304644266764255,H_heat_prod,HeatPump,15
2,0.6553356893480968,H_heat_prod,Boiler,22
2,0.0,H_heat_prod,Boiler,12
2,0.0,H_heat_prod,Boiler,5
2,0.0,H_heat_prod,Geothermal,9
2,0.12448225263196301,H_heat_prod,Geothermal,17
2,0.015547714233397875,H_heat_prod,HeatPump,3
2,0.08654452277670044,H_heat_prod,Geothermal,16
2,0.259215189615885,H_heat_prod,Boiler,18
2,0.0,H_heat_prod,Boiler,2
2,0.0,H_heat_prod,Boiler,8
2,0.0,H_heat_prod,Geothermal,3
2,0.0,H_heat_prod,Boiler,14
2,0.0,H_heat_prod,Geothermal,5
2,0.0,H_heat_prod,HeatPump,17
2,0.0,H_heat_prod,Boiler,4
2,0.0,H_heat_prod,Boiler,13
2,0.0,H_heat_prod,Geothermal,19
2,0.0607692972819005,H_heat_prod,HeatPump,6
2,0.373728459676105,H_heat_prod,Boiler,21
2,0.0,H_heat_prod,Geothermal,13
2,0.0,H_heat_prod,Geothermal,4
2,0.0,H_heat_prod,Geothermal,21
2,0.0,H_heat_prod,Geothermal,20
2,0.0,H_heat_prod,HeatPump,19
2,6.612141921547027e-7,H_heat_prod,HeatPump,2
2,0.1523011779785147,H_heat_prod,HeatPump,12
2,0.0,H_heat_prod,Geothermal,2
2,0.13387977328449682,H_heat_prod,HeatPump,16
2,0.0,H_heat_prod,Geothermal,8
2,0.0,H_heat_prod,Geothermal,18
2,0.0,H_heat_prod,HeatPump,18
2,0.0,H_heat_prod,Boiler,1
2,0.03084172566731725,H_heat_prod,HeatPump,4
2,0.0,H_heat_prod,Boiler,3
2,0.0,H_heat_prod,HeatPump,1
2,0.06240806016967733,H_heat_prod,Geothermal,22
2,0.07578445434570251,H_heat_prod,HeatPump,7
2,0.0,H_heat_prod,Geothermal,10
2,0.0,H_heat_prod,Boiler,16
2,0.07799767504277332,H_heat_prod,HeatPump,22
2,0.16864334106445228,H_heat_prod,HeatPump,13
2,0.09087005615234325,H_heat_prod,HeatPump,8
2,0.0,H_heat_prod,Boiler,6
2,0.1140543532029975,H_heat_prod,Boiler,17
2,0.0,H_heat_prod,Boiler,9
2,0.3196834818522125,H_heat_prod,Boiler,20
2,0.10595718383788999,H_heat_prod,HeatPump,9
2,0.18560399373372324,H_heat_prod,HeatPump,14
2,0.0,H_heat_prod,Geothermal,15
2,0.12118545532226499,H_heat_prod,HeatPump,10
2,0.0,H_heat_prod,Geothermal,7
2,0.0,H_heat_prod,Boiler,11
2,0.0,H_heat_prod,Geothermal,12
2,0.0,H_heat_prod,Geothermal,6
2,0.0,H_heat_prod,Boiler,7
2,0.0,H_heat_prod,Geothermal,14
2,0.13662137349446551,H_heat_prod,HeatPump,11
2,0.0,H_heat_prod,HeatPump,20
2,0.0,H_heat_prod,Boiler,15
2,0.0,H_heat_prod,Geothermal,1
2,0.0,H_heat_prod,HeatPump,21
2,0.0,H_heat_prod,Geothermal,11
