quantile,variable,count,technology,heat_production,primary_energy,CO2_emissions,OpEx,Q,period,ssp
7,CDH,137.33333333333334,HeatPump,0.22110000000000002,0.03335470488402791,0.005003205732604187,10.05699430043749,0.30954000000000004,2030s,ssp245
8,CDH,94.0,HeatPump,0.26532,0.04374608408903546,0.006561912613355318,13.190166720994231,0.35376,2030s,ssp245
9,CDH,69.0,HeatPump,0.30954,0.05545537142491522,0.008318305713737283,16.720710205296434,0.39798,2030s,ssp245
10,CDH,44.166666666666664,HeatPump,0.35376,0.0685183033120279,0.010277745496804186,20.65939987418943,0.44220000000000004,2030s,ssp245
11,CDH,20.833333333333332,HeatPump,0.39798,0.08297191999478794,0.01244578799921819,25.01740397300046,0.48642,2030s,ssp245
12,CDH,11.5,HeatPump,0.4422,0.0988546255506608,0.014828193832599118,29.80630196524229,0.53064,2030s,ssp245
13,CDH,6.0,HeatPump,0.48642,0.11620625124427636,0.017430937686641453,35.03810363492455,0.57486,2030s,ssp245
14,CDH,5.0,HeatPump,0.5306400000000001,0.13506812244624558,0.020260218366936835,40.725269263681966,0.6190800000000001,2030s,ssp245
15,CDH,2.3333333333333335,HeatPump,0.57486,0.15548312935289746,0.023322469402934618,46.88073095394281,0.6633,2030s,ssp245
1,CDH,628.3333333333334,Geothermal,0.04422,0.002327368421052632,0.0003491052631578948,0.7017400102002632,0.04422,2030s,ssp245
2,CDH,522.6666666666666,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.08844,2030s,ssp245
3,CDH,427.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.13266,2030s,ssp245
4,CDH,343.1666666666667,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.17688,2030s,ssp245
5,CDH,262.6666666666667,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.22110000000000002,2030s,ssp245
6,CDH,194.5,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.26532,2030s,ssp245
7,CDH,137.33333333333334,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.30954000000000004,2030s,ssp245
8,CDH,94.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.35376,2030s,ssp245
9,CDH,69.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.39798,2030s,ssp245
