period,ssp,tech,power,cost,th_max,th_min,th_eff
2070s,ssp126,Geothermal,0.035602550898886594,10680.765269665979,0.5809365328037414,0.17524465616204454,0.26047727632407447
2070s,ssp126,Boiler,0.5717912541413257,57179.12541413257,0.5146121287271932,0.5146121287271932,0.5146121287271932
2070s,ssp126,HeatPump,0.2263803395690658,113190.1697845329,3.3860839291043012,0.6367432151107624,1.5482634291352002
2070s,ssp126,BTES,0.1396421052631579,111713.68421052632,0.1396421052631579,0.1396421052631579,0.1396421052631579
2070s,ssp245,Geothermal,0.04616561430277964,13849.684290833893,0.753296919200538,0.23235508798699014,0.34975831927103607
2070s,ssp245,Boiler,0.5310344489437544,53103.44489437544,0.477931004049379,0.477931004049379,0.47793100404937894
2070s,ssp245,HeatPump,0.19818832208226045,99094.16104113022,2.96440182754541,0.5720939079636309,1.4545549251532037
2070s,ssp245,BTES,0.18618947368421052,148951.57894736843,0.18618947368421052,0.18618947368421052,0.18618947368421052
2070s,ssp370,Geothermal,0.06730166782928533,20190.500348785597,1.0981796689707657,0.3387344712361645,0.5326746386063127
2070s,ssp370,Boiler,0.34382895955456133,34382.89595545613,0.3094460635991052,0.3094460635991052,0.3094460635991052
2070s,ssp370,HeatPump,0.21970331464262907,109851.65732131453,3.2862123287671237,0.6341994651647304,1.6896406281093888
2070s,ssp370,BTES,0.2792842105263158,223427.36842105264,0.2792842105263158,0.2792842105263158,0.2792842105263158
2070s,ssp585,Geothermal,0.033060323494825725,9918.097048447717,0.5394543149169335,0.1831447463546217,0.2825705291798662
2070s,ssp585,Boiler,0.0,0.0,0.0,0.0,0.0
2070s,ssp585,HeatPump,0.31706027335872744,158530.13667936373,4.742429038763165,1.0245802733587277,2.432436634073352
2070s,ssp585,BTES,0.41892631578947365,335141.05263157893,0.41892631578947365,0.41892631578947365,0.41892631578947365
2080s,ssp126,Geothermal,0.044867778552856875,13460.333565857063,0.7321197793138436,0.2310572522370674,0.33330927522106085
2080s,ssp126,Boiler,0.4660826364322563,46608.263643225626,0.41947437278903066,0.41947437278903066,0.4194743727890307
2080s,ssp126,HeatPump,0.19818832208226045,99094.16104113022,2.96440182754541,0.5876283749739021,1.376662403155074
2080s,ssp126,BTES,0.18618947368421052,148951.57894736843,0.18618947368421052,0.18618947368421052,0.18618947368421052
2080s,ssp245,Geothermal,0.046521200245914315,13956.360073774295,0.7590991120126509,0.23957193884534136,0.364738295477984
2080s,ssp245,Boiler,0.42153059574496854,42153.05957449685,0.3793775361704717,0.3793775361704717,0.3793775361704717
2080s,ssp245,HeatPump,0.20883997469955726,104419.98734977863,3.123723921568627,0.6192105249841872,1.5428680460068007
2080s,ssp245,BTES,0.23273684210526316,186189.47368421053,0.23273684210526316,0.23273684210526316,0.23273684210526316
2080s,ssp370,Geothermal,0.06329350860917884,18988.052582753655,1.0327774418419555,0.3185610975614286,0.5109077515294004
2080s,ssp370,Boiler,0.4242450113065219,42424.50113065219,0.38182051017586977,0.38182051017586977,0.38182051017586977
