,ssp,period,quantile,count,variable
859,ssp119,2061-2071,1.19264119466148,322,CDH
866,ssp119,2061-2071,1.51648864746096,299,CDH
865,ssp119,2061-2071,1.84905395507815,300,CDH
872,ssp119,2061-2071,2.20259246826174,283,CDH
864,ssp119,2061-2071,2.56795654296877,303,CDH
869,ssp119,2061-2071,2.96079915364586,292,CDH
867,ssp119,2061-2071,3.36797485351565,298,CDH
870,ssp119,2061-2071,3.79624837239586,287,CDH
876,ssp119,2061-2071,4.26107177734377,258,CDH
877,ssp119,2061-2071,4.77202504475914,256,CDH
875,ssp119,2061-2071,5.33524475097659,267,CDH
871,ssp119,2061-2071,5.96098480224612,284,CDH
874,ssp119,2061-2071,6.67320149739586,272,CDH
873,ssp119,2061-2071,7.51457366943362,276,CDH
863,ssp119,2061-2071,8.55979309082034,304,CDH
860,ssp119,2061-2071,10.1126876831055,318,CDH
879,ssp119,2061-2071,20.3302551269531,0,CDH
88,ssp119,2061-2071,0,42567,HDH
108,ssp119,2061-2071,2.64485676861881E-05,1041,HDH
102,ssp119,2061-2071,0.621908569335915,2129,HDH
104,ssp119,2061-2071,1.23366902669269,2058,HDH
107,ssp119,2061-2071,1.83515014648435,1885,HDH
105,ssp119,2061-2071,2.43077189127602,1996,HDH
106,ssp119,2061-2071,3.0313781738281,1990,HDH
103,ssp119,2061-2071,3.63480224609373,2107,HDH
101,ssp119,2061-2071,4.2382873535156,2149,HDH
99,ssp119,2061-2071,4.8474182128906,2192,HDH
100,ssp119,2061-2071,5.46485493977862,2178,HDH
96,ssp119,2061-2071,6.0920471191406,2249,HDH
97,ssp119,2061-2071,6.7457336425781,2242,HDH
98,ssp119,2061-2071,7.42415974934894,2234,HDH
95,ssp119,2061-2071,8.12185770670571,2357,HDH
93,ssp119,2061-2071,8.81697184244789,2423,HDH
94,ssp119,2061-2071,9.54146423339842,2361,HDH
91,ssp119,2061-2071,10.3686075846354,2478,HDH
92,ssp119,2061-2071,11.3660491943359,2442,HDH
90,ssp119,2061-2071,12.7873392740885,2511,HDH
89,ssp119,2061-2071,14.9491383870442,3931,HDH
109,ssp119,2061-2071,31.8296569824219,128,HDH
880,ssp119,2071-2081,0,82262,CDH
900,ssp119,2071-2081,3.45865885655883E-05,148,CDH
885,ssp119,2071-2081,0.286584472656273,298,CDH
881,ssp119,2071-2081,0.582147216796898,324,CDH
883,ssp119,2071-2081,0.883386230468773,309,CDH
884,ssp119,2071-2081,1.19264119466148,299,CDH
892,ssp119,2071-2081,1.51648864746096,278,CDH
889,ssp119,2071-2081,1.84905395507815,282,CDH
893,ssp119,2071-2081,2.20259246826174,271,CDH
894,ssp119,2071-2081,2.56795654296877,268,CDH
890,ssp119,2071-2081,2.96079915364586,280,CDH
896,ssp119,2071-2081,3.36797485351565,260,CDH
895,ssp119,2071-2081,3.79624837239586,267,CDH
887,ssp119,2071-2081,4.26107177734377,288,CDH
888,ssp119,2071-2081,4.77202504475914,284,CDH
891,ssp119,2071-2081,5.33524475097659,280,CDH
882,ssp119,2071-2081,5.96098480224612,315,CDH
886,ssp119,2071-2081,6.67320149739586,289,CDH
897,ssp119,2071-2081,7.51457366943362,258,CDH
898,ssp119,2071-2081,8.55979309082034,236,CDH
899,ssp119,2071-2081,10.1126876831055,176,CDH
901,ssp119,2071-2081,20.3302551269531,0,CDH
110,ssp119,2071-2081,0,41636,HDH
130,ssp119,2071-2081,2.64485676861881E-05,1072,HDH
125,ssp119,2071-2081,0.621908569335915,2086,HDH
124,ssp119,2071-2081,1.23366902669269,2106,HDH
