"year","gcm","ssp","avg"
"2032","EC-Earth3-Veg","ssp245","11.986324639748215"
"2032","EC-Earth3-Veg","ssp370","10.267055106116638"
"2032","EC-Earth3-Veg","ssp585","11.997303727333128"
"2032","IPSL-CM6A-LR","ssp126","10.700231332863186"
"2032","IPSL-CM6A-LR","ssp245","12.843239069823007"
"2032","IPSL-CM6A-LR","ssp370","12.892148133436004"
"2032","IPSL-CM6A-LR","ssp585","11.177004741670718"
"2032","MIROC6","ssp126","10.899153440729863"
"2032","MIROC6","ssp245","12.127903094188436"
"2032","MIROC6","ssp370","12.312452405758526"
"2032","MIROC6","ssp585","11.371932523635845"
"2032","MPI-ESM1-2-HR","ssp126","10.248473451480486"
"2032","MPI-ESM1-2-HR","ssp245","11.447019303876262"
"2032","MPI-ESM1-2-HR","ssp370","10.877744222406442"
"2032","MPI-ESM1-2-HR","ssp585","11.093356898649029"
"2032","NorESM2-MM","ssp126","10.738479303820514"
"2032","NorESM2-MM","ssp245","11.854319307409689"
"2032","NorESM2-MM","ssp370","11.271111157059028"
"2032","NorESM2-MM","ssp585","11.698947773256911"
"2033","CMCC-CM2-SR5","ssp126","12.097251067858894"
"2033","CMCC-CM2-SR5","ssp245","11.184181653368755"
"2033","CMCC-CM2-SR5","ssp370","11.056069040541724"
"2033","CMCC-CM2-SR5","ssp585","11.78596836766781"
"2033","EC-Earth3-Veg","ssp126","11.225864999601617"
"2033","EC-Earth3-Veg","ssp245","11.879606612969695"
"2033","EC-Earth3-Veg","ssp370","11.84349883348191"
"2033","EC-Earth3-Veg","ssp585","12.216795667577067"
"2033","IPSL-CM6A-LR","ssp126","12.12166126269526"
"2033","IPSL-CM6A-LR","ssp245","11.956511771079944"
"2033","IPSL-CM6A-LR","ssp370","12.483579718024915"
"2033","IPSL-CM6A-LR","ssp585","12.53561147212659"
"2033","MIROC6","ssp126","12.653761123470204"
"2033","MIROC6","ssp245","11.334309728531892"
"2033","MIROC6","ssp370","11.710713719436367"
"2033","MIROC6","ssp585","12.463623941776376"
"2033","MPI-ESM1-2-HR","ssp126","10.635976698755174"
"2033","MPI-ESM1-2-HR","ssp245","11.23963623815652"
"2033","MPI-ESM1-2-HR","ssp370","10.444410332773634"
"2033","MPI-ESM1-2-HR","ssp585","10.89618518096541"
"2033","NorESM2-MM","ssp126","10.597861864622873"
"2033","NorESM2-MM","ssp245","11.07420403137282"
"2033","NorESM2-MM","ssp370","10.889453754371354"
"2033","NorESM2-MM","ssp585","12.166072056447602"
"2034","CMCC-CM2-SR5","ssp126","11.686022047712212"
"2034","CMCC-CM2-SR5","ssp245","13.142379291032304"
"2034","CMCC-CM2-SR5","ssp370","11.541048666864832"
"2034","CMCC-CM2-SR5","ssp585","13.080888594208327"
"2034","EC-Earth3-Veg","ssp126","11.37610387306123"
"2034","EC-Earth3-Veg","ssp245","11.81731209212099"
"2034","EC-Earth3-Veg","ssp370","12.176075245234898"
"2034","EC-Earth3-Veg","ssp585","12.16832409270879"
"2034","IPSL-CM6A-LR","ssp126","12.23748602247825"
"2034","IPSL-CM6A-LR","ssp245","13.385296258503958"
"2034","IPSL-CM6A-LR","ssp370","11.924599893638634"
"2034","IPSL-CM6A-LR","ssp585","11.875547154177273"
"2034","MIROC6","ssp126","11.705806802421863"
"2034","MIROC6","ssp245","11.926120948292885"
"2034","MIROC6","ssp370","12.399254588806828"
"2034","MIROC6","ssp585","11.141111058035648"
"2034","MPI-ESM1-2-HR","ssp126","10.314019009086326"
"2034","MPI-ESM1-2-HR","ssp245","11.54289931738462"
"2034","MPI-ESM1-2-HR","ssp370","12.17183317654704"
"2034","MPI-ESM1-2-HR","ssp585","10.598809639225951"
"2034","NorESM2-MM","ssp126","11.337259725830943"
