SSP,Decade,Day,Hour,Loss_type,Value
past,2020s,15,12,Solar,532.5966066517994
past,2020s,15,12,Internal,700.0
past,2020s,15,13,Wall,2185.824890136719
past,2020s,15,13,Ventilation,699.4639648437502
past,2020s,15,13,Solar,564.5023790023522
past,2020s,15,13,Internal,700.0
past,2020s,15,14,Wall,2174.2034912109375
past,2020s,15,14,Ventilation,695.7451171875
past,2020s,15,14,Solar,573.9251654934675
past,2020s,15,14,Internal,700.0
past,2020s,15,15,Wall,2149.7433471679688
past,2020s,15,15,Ventilation,687.91787109375
past,2020s,15,15,Solar,530.702249405326
past,2020s,15,15,Internal,700.0
past,2020s,15,16,Wall,2089.4268798828134
past,2020s,15,16,Ventilation,668.6166015625004
past,2020s,15,16,Solar,431.2211310513337
past,2020s,15,16,Internal,700.0
past,2020s,15,17,Wall,1985.0982666015625
past,2020s,15,17,Ventilation,635.2314453125
past,2020s,15,17,Solar,290.0017403812655
past,2020s,15,17,Internal,700.0
past,2020s,15,18,Wall,1806.3830566406255
past,2020s,15,18,Ventilation,578.0425781250002
past,2020s,15,18,Solar,138.30961207755598
past,2020s,15,18,Internal,700.0
past,2020s,15,19,Wall,1535.0241088867183
past,2020s,15,19,Ventilation,491.20771484374984
past,2020s,15,19,Solar,28.454351634553625
past,2020s,15,19,Internal,700.0
past,2020s,15,20,Wall,1287.1850585937505
past,2020s,15,20,Ventilation,411.8992187500002
past,2020s,15,20,Solar,0.0
past,2020s,15,20,Internal,700.0
past,2020s,15,21,Wall,1039.9026554361978
past,2020s,15,21,Ventilation,41.59610621744792
past,2020s,15,21,Solar,0.0
past,2020s,15,21,Internal,105.0
past,2020s,15,22,Wall,1201.534642515191
past,2020s,15,22,Ventilation,48.061385700607644
past,2020s,15,22,Solar,0.0
past,2020s,15,22,Internal,105.0
past,2020s,15,23,Wall,1058.4947838598196
past,2020s,15,23,Ventilation,42.33979135439279
past,2020s,15,23,Solar,0.0
past,2020s,15,23,Internal,105.0
past,2020s,2,0,Wall,-847.5886495692868
past,2020s,2,0,Ventilation,-33.90354598277147
past,2020s,2,0,Solar,0.0002970557361048458
past,2020s,2,0,Internal,105.0
past,2020s,2,1,Wall,-831.5764691611081
past,2020s,2,1,Ventilation,-33.263058766444324
past,2020s,2,1,Solar,0.0
past,2020s,2,1,Internal,105.0
past,2020s,2,2,Wall,-815.1311407857661
past,2020s,2,2,Ventilation,-32.60524563143064
past,2020s,2,2,Solar,0.0
past,2020s,2,2,Internal,105.0
past,2020s,2,3,Wall,-798.700975519222
past,2020s,2,3,Ventilation,-31.94803902076888
past,2020s,2,3,Solar,0.0
past,2020s,2,3,Internal,105.0
past,2020s,2,4,Wall,-782.1772025331809
past,2020s,2,4,Ventilation,-31.28708810132724
past,2020s,2,4,Solar,0.0
past,2020s,2,4,Internal,105.0
past,2020s,2,5,Wall,-765.3796717741909
past,2020s,2,5,Ventilation,-30.615186870967637
past,2020s,2,5,Solar,0.04778402721380086
past,2020s,2,5,Internal,105.0
past,2020s,2,6,Wall,-746.1059092219364
past,2020s,2,6,Ventilation,-29.844236368877457
past,2020s,2,6,Solar,4.004130810405038
past,2020s,2,6,Internal,105.0
past,2020s,2,7,Wall,-716.5452241595594
past,2020s,2,7,Ventilation,-28.661808966382377
past,2020s,2,7,Solar,24.24414510302205
past,2020s,2,7,Internal,105.0
past,2020s,2,8,Wall,-960.3388273326151
past,2020s,2,8,Ventilation,-307.30842474643686
past,2020s,2,8,Solar,64.73063829170208
past,2020s,2,8,Internal,700.0
past,2020s,2,9,Wall,-922.2069219331629
past,2020s,2,9,Ventilation,-295.10621501861215
past,2020s,2,9,Solar,121.2594487732496
past,2020s,2,9,Internal,700.0
past,2020s,2,10,Wall,-878.677806805315
past,2020s,2,10,Ventilation,-281.1768981777008
past,2020s,2,10,Solar,167.58147428378697
past,2020s,2,10,Internal,700.0
past,2020s,2,11,Wall,-839.2165974090744
past,2020s,2,11,Ventilation,-268.5493111709038
past,2020s,2,11,Solar,193.17087211945795
past,2020s,2,11,Internal,700.0
past,2020s,2,12,Wall,-809.3980879842786
past,2020s,2,12,Ventilation,-259.0073881549692
past,2020s,2,12,Solar,196.54935032055678
past,2020s,2,12,Internal,700.0
past,2020s,2,13,Wall,-793.4780954763232
past,2020s,2,13,Ventilation,-253.91299055242345
past,2020s,2,13,Solar,176.3611671031292
past,2020s,2,13,Internal,700.0
past,2020s,2,14,Wall,-793.304449740342
past,2020s,2,14,Ventilation,-253.85742391690943
past,2020s,2,14,Solar,133.95740502531157
past,2020s,2,14,Internal,700.0
past,2020s,2,15,Wall,-808.4420692571058
past,2020s,2,15,Ventilation,-258.70146216227386
past,2020s,2,15,Solar,79.30026372912218
past,2020s,2,15,Internal,700.0
past,2020s,2,16,Wall,-834.9216081016607
past,2020s,2,16,Ventilation,-267.1749145925314
past,2020s,2,16,Solar,28.982909099956764
past,2020s,2,16,Internal,700.0
past,2020s,2,17,Wall,-860.9462702521037
past,2020s,2,17,Ventilation,-275.5028064806732
past,2020s,2,17,Solar,6.408475130973987
past,2020s,2,17,Internal,700.0
past,2020s,2,18,Wall,-880.965159121158
past,2020s,2,18,Ventilation,-281.90885091877055
past,2020s,2,18,Solar,0.4214262827664796
past,2020s,2,18,Internal,700.0
past,2020s,2,19,Wall,-895.4135314120113
past,2020s,2,19,Ventilation,-286.53233005184364
past,2020s,2,19,Solar,0.007718236775237116
past,2020s,2,19,Internal,700.0
past,2020s,2,20,Wall,-906.7493629653743
past,2020s,2,20,Ventilation,-290.1597961489198
past,2020s,2,20,Solar,0.005947682673873894
past,2020s,2,20,Internal,700.0
past,2020s,2,21,Wall,-899.9850809741337
past,2020s,2,21,Ventilation,-35.99940323896535
past,2020s,2,21,Solar,0.004773046934370133
past,2020s,2,21,Internal,105.0
past,2020s,2,22,Wall,-880.589555278344
past,2020s,2,22,Ventilation,-35.22358221113376
past,2020s,2,22,Solar,0.003617659824579833
past,2020s,2,22,Internal,105.0
past,2020s,2,23,Wall,-860.5850462429689
past,2020s,2,23,Ventilation,-34.42340184971876
past,2020s,2,23,Solar,0.001288259463394492
past,2020s,2,23,Internal,105.0
past,2020s,0,0,Wall,-2258.913324610583
past,2020s,0,0,Ventilation,-90.35653298442332
past,2020s,0,0,Solar,0.0
past,2020s,0,0,Internal,105.0
past,2020s,0,1,Wall,-2200.0509846308537
past,2020s,0,1,Ventilation,-88.00203938523416
past,2020s,0,1,Solar,0.0
past,2020s,0,1,Internal,105.0
past,2020s,0,2,Wall,-2174.0849186610462
past,2020s,0,2,Ventilation,-86.96339674644186
past,2020s,0,2,Solar,0.0
past,2020s,0,2,Internal,105.0
past,2020s,0,3,Wall,-2183.0714416503906
past,2020s,0,3,Ventilation,-87.32285766601564
past,2020s,0,3,Solar,0.0
past,2020s,0,3,Internal,105.0
past,2020s,0,4,Wall,-2235.254496388662
past,2020s,0,4,Ventilation,-89.4101798555465
past,2020s,0,4,Solar,0.0
past,2020s,0,4,Internal,105.0
past,2020s,0,5,Wall,-2267.1369302837415
past,2020s,0,5,Ventilation,-90.68547721134968
past,2020s,0,5,Solar,0.0
past,2020s,0,5,Internal,105.0
past,2020s,0,6,Wall,-2299.831851790243
past,2020s,0,6,Ventilation,-91.99327407160973
past,2020s,0,6,Solar,0.1344219451611183
past,2020s,0,6,Internal,105.0
past,2020s,0,7,Wall,-2349.433988545512
past,2020s,0,7,Ventilation,-93.97735954182049
past,2020s,0,7,Solar,8.43008908029096
past,2020s,0,7,Internal,105.0
past,2020s,0,8,Wall,-2381.265335083008
past,2020s,0,8,Ventilation,-762.0049072265625
past,2020s,0,8,Solar,51.58753274088031
past,2020s,0,8,Internal,700.0
past,2020s,0,9,Wall,-2310.5545043945312
past,2020s,0,9,Ventilation,-739.37744140625
past,2020s,0,9,Solar,130.379731229451
past,2020s,0,9,Internal,700.0
past,2020s,0,10,Wall,-2244.8592376708984
past,2020s,0,10,Ventilation,-718.3549560546876
past,2020s,0,10,Solar,195.39440629999606
past,2020s,0,10,Internal,700.0
past,2020s,0,11,Wall,-2162.516632080078
past,2020s,0,11,Ventilation,-692.0053222656251
past,2020s,0,11,Solar,231.7239071489305
past,2020s,0,11,Internal,700.0
past,2020s,0,12,Wall,-2093.096466064453
past,2020s,0,12,Ventilation,-669.7908691406251
past,2020s,0,12,Solar,235.51117948144707
past,2020s,0,12,Internal,700.0
past,2020s,0,13,Wall,-2075.634307861328
past,2020s,0,13,Ventilation,-664.2029785156251
past,2020s,0,13,Solar,204.46353188608268
past,2020s,0,13,Internal,700.0
past,2020s,0,14,Wall,-2099.560775756836
past,2020s,0,14,Ventilation,-671.8594482421876
past,2020s,0,14,Solar,142.2835104270852
past,2020s,0,14,Internal,700.0
past,2020s,0,15,Wall,-2139.906692504883
