SSP,Decade,Day,Hour,T_min_unmet,T_max_unmet,penalty_T_min_unmet,penalty_T_max_unmet
ssp126,2030s,15,5,0.0,0.0,0.0,0.0
ssp126,2030s,15,6,0.0,0.0,0.0,0.0
ssp126,2030s,15,7,0.0,0.0,0.0,0.0
ssp126,2030s,15,8,0.0,0.0,0.0,0.0
ssp126,2030s,15,9,0.0,0.0,0.0,0.0
ssp126,2030s,15,10,0.0,0.0,0.0,0.0
ssp126,2030s,15,11,0.0,0.0,0.0,0.0
ssp126,2030s,15,12,0.0,0.0,0.0,0.0
ssp126,2030s,15,13,0.0,0.0,0.0,0.0
ssp126,2030s,15,14,0.0,0.0,0.0,0.0
ssp126,2030s,15,15,0.0,0.0,0.0,0.0
ssp126,2030s,15,16,0.0,0.0,0.0,0.0
ssp126,2030s,15,17,0.0,0.0,0.0,0.0
ssp126,2030s,15,18,0.0,0.0,0.0,0.0
ssp126,2030s,15,19,0.0,0.0,0.0,0.0
ssp126,2030s,15,20,0.0,0.0,0.0,0.0
ssp126,2030s,15,21,0.0,0.0,0.0,0.0
ssp126,2030s,15,22,0.0,0.0,0.0,0.0
ssp126,2030s,15,23,0.0,0.0,0.0,0.0
ssp126,2030s,2,0,0.0,0.0,0.0,0.0
ssp126,2030s,2,1,0.0,0.0,0.0,0.0
ssp126,2030s,2,2,0.0,0.0,0.0,0.0
ssp126,2030s,2,3,0.0,0.0,0.0,0.0
ssp126,2030s,2,4,0.0,0.0,0.0,0.0
ssp126,2030s,2,5,0.0,0.0,0.0,0.0
ssp126,2030s,2,6,0.0,0.0,0.0,0.0
ssp126,2030s,2,7,0.0,0.0,0.0,0.0
ssp126,2030s,2,8,0.0,0.0,0.0,0.0
ssp126,2030s,2,9,0.0,0.0,0.0,0.0
